chapter,volume,name,pages,date
1,1,Romance Dawn - The Dawn of the Adventure,53,"July 19, 1997"
2,1,"That Guy, ""Straw Hat Luffy""",23,"July 28, 1997"
3,1,Introducing Pirate Hunter Zoro,21,"August 4, 1997"
4,1,"Marine Captain ""Axe-Hand Morgan""",19,"August 11, 1997"
5,1,Pirate King and Master Swordsman,19,"August 25, 1997"
6,1,The First,23,"September 1, 1997"
7,1,Friends,20,"September 8, 1997"
8,1,Introducing Nami,19,"September 15, 1997"
9,2,The Devil Girl,21,"September 22, 1997"
10,2,Incident at the Tavern,23,"September 29, 1997"
11,2,Flight,19,"October 6, 1997"
12,2,Dog,19,"October 13, 1997"
13,2,Treasure,19,"October 20, 1997"
14,2,Reckless!!,19,"October 27, 1997"
15,2,Gong,19,"November 3, 1997"
16,2,Versus The Buggy Pirate Crew,17,"November 10, 1997"
17,2,Character,20,"November 17, 1997"
18,3,The Pirate Buggy the Clown,19,"November 24, 1997"
19,3,Devil Fruit,19,"December 1, 1997"
20,3,The Way of the Thief,19,"December 8, 1997"
21,3,Town,19,"December 22, 1997"
22,3,You're the Rare Breed,29,"January 5, 1998"
23,3,Captain Usopp Appears,19,"January 12, 1998"
24,3,Things That Can't Be Faked,19,"January 19, 1998"
25,3,800 Lies,19,"January 26, 1998"
26,3,Captain Kuro's Plan,19,"February 2, 1998"
27,4,Plan,21,"February 9, 1998"
28,4,Crescent Moon,19,"February 16, 1998"
29,4,Hill Road,21,"February 23, 1998"
30,4,Great!!!,19,"March 2, 1998"
31,4,Truth,19,"March 9, 1998"
32,4,Disaster,19,"March 16, 1998"
33,4,The Silent Man,19,"March 23, 1998"
34,4,Klahadore the Butler,19,"March 30, 1998"
35,4,Neo Hill Road,19,"April 6, 1998"
36,5,After Them!!,21,"April 13, 1998"
37,5,"The Pirate ""Kuro of a Hundred Plans""",19,"April 20, 1998"
38,5,Pirate Crew,20,"April 27, 1998"
39,5,For Whom the Bell Tolls,19,"May 11, 1998"
40,5,The Usopp Pirates,19,"May 18, 1998"
41,5,To the Sea,18,"May 25, 1998"
42,5,Yosaku and Johnny,19,"June 1, 1998"
43,5,Introducing Sanji,19,"June 8, 1998"
44,5,Three Cooks,20,"June 15, 1998"
45,6,Before the Storm,18,"June 22, 1998"
46,6,An Uninvited Guest,19,"June 29, 1998"
47,6,"Pirate Fleet Admiral ""Don Krieg""",19,"July 6, 1998"
48,6,Leave That Path Alone,19,"July 13, 1998"
49,6,Storm,18,"July 18, 1998"
50,6,A Parting of Ways,19,"July 27, 1998"
51,6,Roronoa Zoro Falls Into the Sea,19,"August 3, 1998"
52,6,The Oath,20,"August 10, 1998"
53,6,Sabagashira No. 1,19,"August 24, 1998"
54,7,Pearl-san,19,"August 31, 1998"
55,7,Jungle Blood,19,"September 7, 1998"
56,7,I Refuse,20,"September 14, 1998"
57,7,If You Have a Dream,19,"September 21, 1998"
58,7,Crap-Geezer,19,"September 28, 1998"
59,7,Obligation,19,"October 5, 1998"
60,7,Propriety,19,"October 12, 1998"
61,7,The Demon,20,"October 19, 1998"
62,7,MH5,19,"October 26, 1998"
63,8,I Won't Die,19,"November 2, 1998"
64,8,The Mighty Battle Spear,17,"November 9, 1998"
65,8,Prepared,19,"November 16, 1998"
66,8,The Chewed-up Spear,19,"November 21, 1998"
67,8,Soup,19,"November 30, 1998"
68,8,The Fourth,19,"December 7, 1998"
69,8,Arlong Park,20,"December 19, 1998"
70,8,The Great Adventure of Usopp the Man,21,"January 4, 1999"
71,8,Lords of All Creation,19,"January 11, 1999"
72,9,Appropriate,19,"January 18, 1999"
73,9,Monsters of the Grand Line,19,"January 25, 1999"
74,9,Business,19,"February 1, 1999"
75,9,Of Sea Maps and Fish-Men,19,"February 8, 1999"
76,9,Sleep,19,"February 15, 1999"
77,9,The First Step Toward a Dream,19,"February 22, 1999"
78,9,Bell-mere-san,19,"March 1, 1999"
79,9,To Live,19,"March 8, 1999"
80,9,A Crime is a Crime,19,"March 15, 1999"
81,9,Tears,19,"March 20, 1999"
82,10,"OK, Let's STAND UP!",19,"March 29, 1999"
83,10,Luffy in Black,19,"April 5, 1999"
84,10,Zombie,19,"April 12, 1999"
85,10,Three Sword Style vs. Six Sword Style,19,"April 19, 1999"
86,10,Chivalry vs. Fish-Man Karate,20,"April 26, 1999"
87,10,It's All Over!!,19,"May 10, 1999"
88,10,Die!!!,19,"May 17, 1999"
89,10,Trade-Off,19,"May 24, 1999"
90,10,What Can You Do?,19,"May 31, 1999"
91,11,DARTS,19,"June 7, 1999"
92,11,Happiness,19,"June 14, 1999"
93,11,Going Down,19,"June 21, 1999"
94,11,The Second,17,"June 28, 1999"
95,11,"Spin, Pinwheel",19,"July 5, 1999"
96,11,Greatest Evil of the East,19,"July 12, 1999"
97,11,Sandai Kitetsu,19,"July 19, 1999"
98,11,Dark Clouds,19,"July 26, 1999"
99,11,Luffy Died,19,"August 2, 1999"
100,12,The Legend Has Begun,24,"August 9, 1999"
101,12,Reverse Mountain,19,"August 23, 1999"
102,12,"Now, The Grand Line",19,"August 30, 1999"
103,12,The Whale,20,"September 6, 1999"
104,12,Cape Promise,19,"September 13, 1999"
105,12,Log Pose,19,"September 20, 1999"
106,12,The Town of Welcome,19,"September 27, 1999"
107,12,Moonlight and Tombstones,18,"October 4, 1999"
108,12,100 Bounty Hunters,19,"October 9, 1999"
109,13,Responsibility Problem,19,"October 18, 1999"
110,13,The Night Isn't Over,19,"October 25, 1999"
111,13,The Secret Criminal Organization,18,"November 1, 1999"
112,13,Luffy vs. Zoro,19,"November 8, 1999"
113,13,It's All Right!!!,19,"November 15, 1999"
114,13,The Course,19,"November 22, 1999"
115,13,Little Garden of Adventure,19,"December 6, 1999"
116,13,Big,19,"December 13, 1999"
117,13,Dorry and Brogy,19,"December 20, 1999"
118,14,Someone's Out There,19,"January 3, 2000"
119,14,Makeshift,19,"January 17, 2000"
120,14,The Red Ogre Weeps,19,"January 24, 2000"
121,14,I Knew,19,"January 31, 2000"
122,14,A Dead Body is Useless,19,"February 7, 2000"
123,14,Luffy vs. Mr. 3,19,"February 14, 2000"
124,14,The Tea is Good,19,"February 21, 2000"
125,14,Candle Champion,19,"February 28, 2000"
126,14,Instinct,19,"March 6, 2000"
127,15,Den Den Mushi,19,"March 13, 2000"
128,15,Pride (Pirate Flag),20,"March 18, 2000"
129,15,Straight Ahead!!!,21,"March 27, 2000"
130,15,Maximum Speed,19,"April 3, 2000"
131,15,Tin Plate Wapol,19,"April 10, 2000"
132,15,See?,19,"April 17, 2000"
133,15,Adventure in a Nameless Country,20,"April 24, 2000"
134,15,Dr. Kureha,19,"May 8, 2000"
135,15,Lapahn,19,"May 15, 2000"
136,15,A Man Named Dalton,19,"May 22, 2000"
137,16,Avalanche,20,"May 29, 2000"
138,16,The Summit,19,"June 5, 2000"
139,16,Introducing Tony Tony Chopper,19,"June 12, 2000"
140,16,The Castle of Snow,19,"June 19, 2000"
141,16,Quack Doctor,19,"June 26, 2000"
142,16,Skull and Sakura,19,"July 3, 2000"
143,16,Clumsy,19,"July 10, 2000"
144,16,Snowy Tale,19,"July 17, 2000"
145,16,Inherited Will,19,"July 24, 2000"
146,17,Battle to Defend the Kingdom,19,"July 31, 2000"
147,17,Downright Lie,19,"August 7, 2000"
148,17,Unbreakable,19,"August 21, 2000"
149,17,RUMBLE!!,19,"August 28, 2000"
150,17,Royal Drum Crown 7-Shot Bliking Cannon,19,"September 4, 2000"
151,17,The Skies of Drum,19,"September 11, 2000"
152,17,Full Moon,19,"September 18, 2000"
153,17,Hiriluk's Sakura,19,"September 25, 2000"
154,17,To Arabasta,19,"October 2, 2000"
155,17,"""Pirate"" Sir Crocodile",19,"October 7, 2000"
156,18,Okama Weather,19,"October 16, 2000"
157,18,Introducing Ace,19,"October 23, 2000"
158,18,Landing in Arabasta,19,"October 30, 2000"
159,18,Come On,19,"November 6, 2000"
160,18,Spiders Cafe at 8 O'Clock,19,"November 13, 2000"
161,18,The Green City Erumalu,19,"November 20, 2000"
162,18,Adventure in the Kingdom of Sand,19,"November 27, 2000"
163,18,"Yuba, the Town of Rebels",19,"December 4, 2000"
164,18,I Love This Country,19,"December 11, 2000"
165,18,Operation Utopia,18,"December 18, 2000"
166,18,Luffy vs. Vivi,19,"January 4, 2001"
167,19,Battle Front,19,"January 15, 2001"
168,19,"Rainbase, The Town of Dreams",19,"January 22, 2001"
169,19,The Kingdom's Strongest Warrior,19,"January 29, 2001"
170,19,It Begins,19,"February 5, 2001"
171,19,"Koza, Leader of the Rebels",19,"February 10, 2001"
172,19,Rebellion,19,"February 26, 2001"
173,19,Bananawani,19,"March 5, 2001"
174,19,Mr. Prince,19,"March 12, 2001"
175,19,Release,19,"March 19, 2001"
176,19,Rush!!,19,"March 26, 2001"
177,20,30 Million vs. 81 Million,19,"April 2, 2001"
178,20,Level G.L.,19,"April 9, 2001"
179,20,Showdown at Alubarna,19,"April 16, 2001"
180,20,Arabasta Animal Land,19,"April 23, 2001"
181,20,Super Spot-Billed Duck Quiz,19,"May 7, 2001"
182,20,Roar,19,"May 14, 2001"
183,20,Commander Karoo,19,"May 21, 2001"
184,20,Molehill 4th St.,19,"May 28, 2001"
185,20,Oh... Is That So?,19,"June 4, 2001"
186,20,4,19,"June 11, 2001"
187,21,Even Match,19,"June 18, 2001"
188,21,Okama Kenpo,19,"June 25, 2001"
189,21,2,19,"July 2, 2001"
190,21,Clima-Tact,19,"July 9, 2001"
191,21,The Woman Who Controls the Weather,19,"July 16, 2001"
192,21,Whirlwind Warning,19,"July 23, 2001"
193,21,Utopia,19,"July 30, 2001"
194,21,Cutting Steel,18,"August 6, 2001"
195,21,Mr. Bushido,21,"August 20, 2001"
196,22,1,19,"August 27, 2001"
197,22,The Leaders,19,"September 3, 2001"
198,22,4:15 PM,19,"September 10, 2001"
199,22,Hope!!,19,"September 17, 2001"
200,22,Water Luffy,19,"September 22, 2001"
201,22,Nico Robin,19,"October 1, 2001"
202,22,The Royal Mausoleum,19,"October 6, 2001"
203,22,Crocodile-ish,19,"October 15, 2001"
204,22,RED,19,"October 22, 2001"
205,22,The Suna Suna Clan's Secret Base,19,"October 29, 2001"
206,23,Ignition,19,"November 5, 2001"
207,23,Nightmare,19,"November 12, 2001"
208,23,Guardian Spirit,19,"November 19, 2001"
209,23,I Will Surpass You,21,"November 26, 2001"
210,23,0,17,"December 3, 2001"
211,23,King,19,"December 10, 2001"
212,23,Some Justice,19,"December 17, 2001"
